               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083216,            0.026256,            0.021101,             0.45618,             0.56089,             0.43727,             0.15754,            0.055193,            0.015048,            0.008851,             0.00126,             0.00126,             0.08866
                   1,            0.055285,            0.021151,           0.0069122,             0.56419,              0.6644,             0.61101,             0.25325,            0.046126,            0.011075,           0.0032967,           0.0025294,           0.0025294,            0.077229
                   2,            0.049269,            0.018329,           0.0040898,             0.73821,             0.68374,             0.73258,             0.36471,            0.043428,            0.010317,            0.002382,           0.0037966,           0.0037966,            0.065797
                   3,            0.045719,            0.017352,           0.0035295,             0.77275,             0.73504,             0.80911,             0.32912,             0.04519,           0.0096894,           0.0026386,           0.0050599,           0.0050599,             0.05436
                   4,              0.0474,            0.016825,           0.0040255,             0.80538,             0.74171,              0.8013,             0.33554,            0.043307,           0.0094561,           0.0026193,           0.0063175,           0.0063175,            0.042918
                   5,            0.043268,            0.016744,           0.0042172,             0.65845,             0.57265,              0.6762,             0.32749,            0.041107,            0.011058,           0.0027788,           0.0075678,           0.0075678,            0.031468
                   6,            0.043288,            0.016989,           0.0044922,             0.75133,             0.66167,             0.73856,             0.37567,            0.042581,            0.010673,           0.0039486,           0.0088092,           0.0088092,            0.020009
                   7,            0.043052,            0.017861,           0.0050347,             0.65339,             0.59814,             0.63201,             0.29533,            0.045131,            0.011584,           0.0080496,           0.0098916,           0.0098916,           0.0098916
                   8,            0.043239,            0.018157,           0.0052659,             0.67209,             0.54978,             0.61509,               0.297,            0.044591,            0.011837,           0.0087133,           0.0098916,           0.0098916,           0.0098916
                   9,            0.041982,            0.017436,           0.0043051,             0.79278,             0.65853,             0.75518,             0.39152,            0.040313,            0.010449,           0.0040605,           0.0098586,           0.0098586,           0.0098586
                  10,            0.040341,            0.017227,           0.0036761,             0.78268,             0.72081,             0.78895,             0.42365,            0.038154,            0.009899,           0.0032882,           0.0098213,           0.0098213,           0.0098213
                  11,            0.038302,            0.016776,           0.0035128,             0.82211,             0.75151,             0.82288,             0.45375,            0.038112,           0.0094819,           0.0060912,           0.0097798,           0.0097798,           0.0097798
                  12,            0.037507,            0.016245,           0.0030897,             0.87091,              0.7447,              0.8483,             0.49001,            0.036206,           0.0092233,           0.0015579,            0.009734,            0.009734,            0.009734
                  13,            0.036662,            0.015666,           0.0028006,             0.84739,             0.78553,             0.86217,             0.50018,            0.035461,           0.0090355,           0.0021075,            0.009684,            0.009684,            0.009684
                  14,            0.035919,            0.015935,           0.0026093,             0.90328,             0.73863,              0.8576,             0.50755,             0.03466,           0.0089816,           0.0015234,           0.0096299,           0.0096299,           0.0096299
                  15,            0.034888,            0.015328,           0.0021406,             0.84249,             0.81668,             0.88528,             0.54344,            0.035793,            0.008619,           0.0014501,           0.0095717,           0.0095717,           0.0095717
                  16,             0.03419,            0.015253,           0.0022994,             0.85971,             0.78751,             0.86598,              0.4951,            0.034903,           0.0089076,           0.0028465,           0.0095095,           0.0095095,           0.0095095
                  17,            0.034171,            0.015361,           0.0025564,             0.87486,             0.81825,             0.89303,              0.5493,            0.034422,           0.0083343,            0.001032,           0.0094434,           0.0094434,           0.0094434
                  18,            0.033464,            0.014857,           0.0022218,             0.88534,             0.80079,             0.89254,             0.56294,            0.033783,           0.0086001,           0.0016079,           0.0093733,           0.0093733,           0.0093733
                  19,            0.032888,            0.014765,           0.0021275,             0.87783,             0.81495,             0.88062,             0.54149,             0.03385,           0.0086088,           0.0017802,           0.0092995,           0.0092995,           0.0092995
                  20,            0.032557,            0.014755,           0.0021303,             0.89577,             0.83148,             0.89919,             0.54689,            0.034464,           0.0083694,           0.0011242,           0.0092219,           0.0092219,           0.0092219
                  21,            0.032221,            0.014724,           0.0018145,             0.91977,             0.80831,             0.90257,             0.58157,            0.033251,           0.0081217,           0.0023332,           0.0091406,           0.0091406,           0.0091406
                  22,            0.031844,            0.014354,           0.0019004,             0.87038,             0.83808,             0.90436,             0.56308,            0.032504,           0.0082673,           0.0018446,           0.0090557,           0.0090557,           0.0090557
                  23,            0.031341,            0.014389,           0.0016318,             0.91274,             0.82456,             0.90485,             0.58376,            0.032485,           0.0082618,           0.0021021,           0.0089673,           0.0089673,           0.0089673
                  24,            0.031248,             0.01437,            0.001836,             0.87495,             0.82516,             0.89878,             0.54605,            0.032999,            0.008423,           0.0022214,           0.0088755,           0.0088755,           0.0088755
                  25,            0.030542,            0.014078,           0.0019562,             0.88689,             0.86353,             0.91301,              0.5917,            0.032641,           0.0080124,           0.0010778,           0.0087804,           0.0087804,           0.0087804
                  26,            0.030479,            0.013814,           0.0019432,             0.84865,              0.8724,             0.90457,              0.5743,             0.03266,           0.0081878,           0.0020057,            0.008682,            0.008682,            0.008682
                  27,            0.030182,            0.013859,            0.001554,             0.93398,              0.8463,             0.92834,              0.5922,            0.031794,            0.007787,           0.0028837,           0.0085805,           0.0085805,           0.0085805
                  28,            0.030041,            0.013744,            0.001492,             0.90257,             0.83921,             0.91251,             0.58208,            0.032406,           0.0080509,           0.0016279,           0.0084759,           0.0084759,           0.0084759
                  29,            0.029031,            0.013319,           0.0016866,             0.91213,             0.86616,             0.93029,             0.59539,            0.032832,           0.0080089,          0.00089846,           0.0083684,           0.0083684,           0.0083684
                  30,            0.029266,            0.013272,           0.0013461,             0.90347,             0.84253,             0.91918,             0.58543,             0.03267,           0.0080267,           0.0010656,           0.0082581,           0.0082581,           0.0082581
                  31,            0.029109,            0.013308,           0.0012839,             0.91433,             0.86491,             0.93613,              0.6149,            0.031097,           0.0078024,          0.00070625,            0.008145,            0.008145,            0.008145
